Date,AMZN_prices_prices,TSLA_prices_prices,META_prices_prices,AAPL_prices_prices,JNJ_prices_prices,V_prices_prices,PG_prices_prices,JPM_prices_prices,MSFT_prices_prices,GOOGL_prices_prices
2023-01-11,95.08999633789062,123.22000122070312,132.88999938964844,132.74801635742188,169.7295379638672,220.3501739501953,146.00787353515625,135.75277709960938,233.6978302001953,91.5199966430664
2023-01-12,95.2699966430664,123.55999755859376,136.7100067138672,132.66845703125,168.87545776367188,221.85818481445312,145.18411254882812,135.6166534423828,236.41372680664065,91.12999725341795
2023-01-13,98.12000274658205,122.4000015258789,136.97999572753906,134.01095581054688,168.32223510742188,221.3026123046875,146.22108459472656,139.0388946533203,237.12741088867188,92.12000274658205
2023-01-17,96.0500030517578,131.49000549316406,135.36000061035156,135.1843719482422,167.28375244140625,221.2430877685547,145.79466247558594,136.89027404785156,238.23757934570312,91.29000091552734
2023-01-18,95.45999908447266,128.77999877929688,133.02000427246094,134.4584503173828,164.7603302001953,217.73098754882807,141.88909912109375,132.7777557373047,233.73745727539065,91.12000274658205
2023-01-19,93.68000030517578,127.16999816894533,136.14999389648438,134.5181121826172,164.537109375,218.67349243164065,138.88841247558594,131.00828552246094,229.89157104492188,93.0500030517578
2023-01-20,97.25,133.4199981689453,139.3699951171875,137.10365295410156,163.7703857421875,222.5427703857422,139.4247589111328,131.32911682128906,238.1087188720703,98.0199966430664
2023-01-23,97.5199966430664,143.75,143.27000427246094,140.32565307617188,163.35302734375,222.4137725830078,137.55238342285156,133.4582977294922,240.44798278808597,99.79000091552734
2023-01-24,96.31999969482422,143.88999938964844,143.13999938964844,141.73776245117188,163.35302734375,222.1260681152344,138.30328369140625,134.60552978515625,239.9127197265625,97.6999969482422
2023-01-25,97.18000030517578,144.42999267578125,141.5,141.07147216796875,164.51768493652344,223.12811279296875,138.20578002929688,135.25692749023438,238.4952850341797,95.22000122070312
2023-01-26,99.22000122070312,160.27000427246094,147.3000030517578,143.15982055664062,163.91595458984375,222.93963623046875,137.64990234375,136.09303283691406,245.82034301757807,97.5199966430664
2023-01-27,102.23999786376952,177.89999389648438,151.74000549316406,145.1188507080078,163.27536010742188,229.6165771484375,137.0843048095703,136.42361450195312,245.97894287109372,99.37000274658205
2023-01-30,100.5500030517578,166.66000366210938,147.05999755859375,142.20513916015625,157.22886657714844,227.29502868652344,137.51336669921875,135.26666259765625,240.57684326171875,96.94000244140624
2023-01-31,103.12999725341795,173.22000122070312,148.97000122070312,143.48794555664062,158.6070556640625,228.3962860107422,138.84939575195312,136.07359313964844,245.6320037841797,98.83999633789062
